img_name,img_path,pred_label,clf_confidence,seg_uncertainty
lipstick__julep__its_balm_creme_full_coverage_lip_crayon__04_dusty_orchid_shimmer.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__julep__its_balm_creme_full_coverage_lip_crayon__04_dusty_orchid_shimmer.jpg,bullet,0.918,0.5613
lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment_lipstick__14_nude_tribute.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__yves_saint_laurent__rouge_pur_couture_the_bold_high_pigment_lipstick__14_nude_tribute.jpg,bullet,0.998,0.5527
lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lipstick_and_lip_gloss_duo__nightwalker.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__onesize_by_patrick_starrr__lip_snatcher_hydrating_liquid_lipstick_and_lip_gloss_duo__nightwalker.jpg,liquid,0.735,0.5503
lipstick__yves_saint_laurent__the_inks_vinyl_cream_high_shine_lip_stain__622_plum_liberation.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__yves_saint_laurent__the_inks_vinyl_cream_high_shine_lip_stain__622_plum_liberation.jpg,liquid,0.9,0.5478
lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonbon_caramel.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__violettefr__bisou_jelly_sheer_shine_hydrating_lipstick__bonbon_caramel.jpg,bullet,0.994,0.5458
lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__52_trapeze_pink.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__yves_saint_laurent__rouge_volupte_shine_lipstick_balm__52_trapeze_pink.jpg,bullet,0.999,0.5454
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__peek_show.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__peek_show.jpg,liquid,0.994,0.5265
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__turn_on.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__turn_on.jpg,liquid,0.993,0.5262
lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__low_cut.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__lip_lingerie_xxl_longlasting_matte_liquid_lipstick__low_cut.jpg,liquid,0.998,0.5244
lipstick__nyx_professional_makeup__liquid_suede_cream_lipstick__downtown_beauty.jpg,/Users/connie/dev/lipstick_color_extraction/data/img/annotation_sample/lipstick__nyx_professional_makeup__liquid_suede_cream_lipstick__downtown_beauty.jpg,liquid,0.983,0.5241
